ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
4HTHRA ABTA GHMT2r MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TALA TKT2 TRPAS2,14,0.07498088,2.37227941,0.0564663951663411,1.24917965316143
4HTHRA ABTA MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TALA TKT2 TRPAS2,13,0.0750355,2.37202853,0.0564607419154933,1.2490855824227
4HTHRA ABTA MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS TALA TKT2 TRPAS2,12,0.07507669,2.3715119,0.0564492121322876,1.24903923934145
4HTHRA ABTA GHMT2r MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TKT2 TRPAS2,13,0.07517889,2.37136992,0.0564458985760496,1.24883875415686
4HTHRA ABTA MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TKT2 TRPAS2,12,0.0752338,2.37111771,0.0564401904463154,1.24874429205232
4HTHRA ABTA MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS TKT2 TRPAS2,11,0.07527521,2.37059921,0.0564286702089571,1.24869771865867
4HTHRA ABTA GHMT2r MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TKT2,12,0.07529917,2.37010414,0.0564174877359206,1.24868552925071
4HTHRA ABTA MTHFD/MTHFC NDPK4 PDH PFL POX PPS PYRtex SUCOAS TKT2,11,0.07535426,2.3698506,0.0564118073749248,1.24859085083084
4HTHRA ABTA MTHFD/MTHFC PDH PFL POX PPS PYRtex SUCOAS TKT2,10,0.0753958,2.36933058,0.0564000912517673,1.24854427986577
ABTA ACACT3r CBMKr CYTK1 FORtppi GHMT2r NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,14,0.07562142,2.35972109,0.0561842134146647,1.2488065586162
ABTA CYTK1 FORtppi GHMT2r NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS TKT1 TRPAS2,14,0.0760226,2.35854764,0.056157774135586,1.24806927584177
ABTA CYTK1 FORtppi GHMT2r NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS TKT1,13,0.07616895,2.35713668,0.0561261511416396,1.24787559609278
ABTA ACACT3r CYTK1 FORtppi GHMT2r NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,13,0.0763043,2.35649778,0.0561117787595194,1.24764589666481
ABTA CBMKr CYTK1 FORtppi GHMT2r NDPK2 PDH PFL POX PPS PYRtex SUCOAS TKT1,13,0.07670573,2.35460297,0.0560692141252028,1.24696560352826
4HTHRA ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PGM PIt2rpp POX PPS PYRtex SUCOAS,13,0.07753565,2.35358907,0.0560464766852408,1.24534065410078
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PGM PIt2rpp POX PPS PYRtex SUCOAS,12,0.07755015,2.35312505,0.0560359973513912,1.24534660159052
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS TRPAS2,12,0.07782353,2.35258072,0.0560236730459283,1.24482864085085
4HTHRA ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS,12,0.07796224,2.35159145,0.0560014694293031,1.24462088401323
ABTA FORtppi G6PDH2r/PGL NDPK2 PDH PFL PGM POX PPS PYRtex SUCOAS,11,0.0779769,2.35112451,0.0559909409068582,1.24462685784948
4HTHRA ABTA ALLTN CYTK1 FORtppi G6PDH2r/PGL NDPK2 PDH PFL POX PPS PYRtex SUCOAS,13,0.07910169,2.34822376,0.0559257330658801,1.24255410183314
