ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
5DGLCNR E4PD/PERD/OHPBAT FORtppi FRK H2tex/H2tpp Htex O2tex PACCOAL PDH POR5 UDCPDPpp,11,0.03980512,9.67473172,1.57813833932338,0.986856555570473
ACACT3r ALCD2x/ETOHtex GLCt2pp HADPCOADH/HADPCOADH3 Htex O2tex PPKr TRDR VALt2rpp,9,0.05019797,9.65909136,1.04620680904296,1.06581955007948
ACACT3r ALCD2x/ETOHtex GLCt2pp HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PPKr VALt2rpp,9,0.0504239,9.657557,1.04621415022453,1.06561831387328
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR VALt2rpp,9,0.05111834,9.65284085,1.45790525801531,0.990088667915424
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR VALt2rpp,10,0.05111786,9.65282891,1.45790582441806,0.990089208280703
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr VALt2rpp,9,0.05135265,9.65124958,1.45798075610433,0.989855833825432
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr VALt2rpp,10,0.05135217,9.65123759,1.45798132506652,0.989856374543208
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR UDCPDPpp VALt2rpp,10,0.049147,9.55776275,1.46246037860691,0.992533909566655
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr TRDR UDCPDPpp VALt2rpp,11,0.04914656,9.55775212,1.46246089294896,0.992534411142657
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr UDCPDPpp VALt2rpp,10,0.04936355,9.55581418,1.46255468102876,0.992322178380914
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex METt3pp O2tex PDH PPKr UDCPDPpp VALt2rpp,11,0.0493631,9.55580352,1.46255519703277,0.99232269047823
ACACT1r FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,10,0.06342303,9.54489084,1.44532987032044,0.980495220427637
ACACT1r E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,11,0.06342265,9.54487706,1.44533051324602,0.980495677327196
ACACT1r FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,9,0.06347821,9.54449486,1.44534834607266,0.980441081853027
ACACT1r E4PD/PERD/OHPBAT FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,10,0.06347783,9.54448107,1.44534898951819,0.980441538846516
FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PGI PPKr,9,0.06442669,9.53768875,1.4456661473672,0.979510780152322
