Strategy,Flux,Biomass,N_of_deletions,C_limit
"['CBMKr', 'PGI', 'GMHEPAT']",1.0437781194916339e-10,0.2839796094388983,3,11
"['PGM', 'THZPSN']",9.448984777437838e-05,0.28208411696441,2,11
"['FACOAE100', 'FESR']",1.0029925085445225e-10,0.2854659758020421,2,11
"['ENO', 'OHPBAT']",0.0,0.2820912816143411,2,11
"['PGM', 'ENO']",0.0,0.2820918461173795,2,11
"['ENO', 'DSERDHr', 'MMM']",1.7471393221057951e-09,0.2820918459145395,3,11
"['ECOAH5', 'PERD', '4HTHRA']",0.768944511121862,0.2208874811387813,3,11
"['FUM', 'TPI', 'G3PD2']",1.2966427519193926e-10,0.0436003823013882,3,11
"['OHPBAT', 'THZPSN', '4HTHRA']",0.7689441131768956,0.2218129256465148,3,11
"['OHPBAT', 'DSERDHr', 'PERD']",1.956550477189012e-10,0.2854710304406444,3,11
"['PERD', 'ECOAH4', '4HTHRA']",0.7689446147973253,0.2206463511583499,3,11
"['A5PISO', 'G6PDH2r', '4HTHRA', 'GGGABADr']",2.9821833891219285e-10,0.2854709415007344,4,11
"['A5PISO', 'DADK', '4HTHRA', 'GGGABADr']",-1.928812665141777e-11,0.2854709415023325,4,11
"['A5PISO', 'G6PDH2r', '4HTHRA', 'DADK']",-1.9223511671384582e-11,0.2854709415023258,4,11
"['A5PISO', 'DADK', 'G6PDH2r', 'GGGABADr']",-1.9338530776735752e-11,0.2854712083222258,4,11
"['DADK', 'G6PDH2r', '4HTHRA', 'GGGABADr']",2.575244462121873e-10,0.2854709415016983,4,11
"['A5PISO', 'DADK', 'GGGABADr', 'ACALD']",-1.9395929307108872e-11,0.2854712083222314,4,11
"['DADK', 'G6PDH2r', '4HTHRA', 'ACALD']",-1.9258261652055356e-11,0.2854709415023258,4,11
"['BTDD_RR', 'A5PISO', 'G6PDH2r', 'NTPTP2']",8.511733540217391e-10,0.2854712083244644,4,11
"['DADK', 'GGGABADr', '4HTHRA', 'ACALD']",1.281068306990818e-10,0.2854709414538021,4,11
"['BTDD_RR', 'A5PISO', 'GGGABADr', 'ACALD']",0.0,0.285471208320625,4,11
"['ECOAH4', 'THZPSN']",9.110874953321968e-05,0.2839548453132602,2,11
"['ACOAD8f', 'ALCD19']",0.0,0.2854712083206345,2,11
"['FUM', 'ALCD19']",1.0351118920337575e-10,0.043636690085073,2,11
"['FUM', 'GLYK']",2.3938230564457536e-10,0.0436366900758167,2,11
"['ECOAH4', 'ACOAD8f']",0.0,0.283962347313317,2,11
"['A5PISO', 'THZPSN']",0.0,0.2854636263830084,2,11
"['A5PISO', 'ECOAH4']",0.0,0.2839623473133273,2,11
"['FUM', 'PAI2I']",1.0069651964813977e-10,0.0436356114028395,2,11
"['ICHORS_copy2', 'THZPSN']",0.0,0.2854636263829883,2,11
"['ACOAD8f', 'THZPSN', 'ALCD19']",9.159287150983796e-05,0.2854636263829963,3,11
"['PERD', 'PGCD', '4HTHRA']",0.7689451322674142,0.2194429709516917,3,11
"['CYTK1', 'A5PISO', '4HTHRA']",2.82250667282824e-10,0.2849361089731358,3,11
"['ACOAD3f', 'PGCD', '4HTHRK', 'PERD']",0.768945900471067,0.2176564681764615,4,11
"['ACOAD3f', 'TRDR', 'PERD', '4HTHRA']",0.7689513842152208,0.2152666457277418,4,11
"['CYTK1', 'AACPS8', 'FUM', 'TRDR']",9.701693670649549e-09,0.0426425774022346,4,11
