Reaction,Presence,Normalised_max_Flux,Normalised_max_biomass
ALCD19,0.05970149253731343,4.191249976932241e-05,0.9999999999866058
G3PD2,0.029850746268656716,4.188838122157432e-05,0.9994176611790603
GMHEPK,0.024875621890547265,4.063218344469899e-05,0.9999734400716304
HXAND,0.009950248756218905,4.0627499276821034e-05,0.9999734406088544
AP4AS,0.004975124378109453,4.0627499276821034e-05,0.9999734406088544
PRPPS,0.014925373134328358,4.0627499276821034e-05,0.9999734406088544
GLYK,0.009950248756218905,4.0627499271941474e-05,0.9999734406088723
FBA3,0.01990049751243781,4.0627499253478554e-05,0.9999999999921394
SULR,0.004975124378109453,4.0627499235338625e-05,0.9999734406088984
GMHEPPA,0.03482587064676617,4.062749920967995e-05,0.999973440608907
NDPK8,0.009950248756218905,4.062749919019778e-05,0.9999999999865942
PGI,0.029850746268656716,4.062749908988421e-05,0.9999734406089827
PTAr,0.029850746268656716,4.0627490664729925e-05,0.999999999986564
FESR,0.014925373134328358,4.06267460490504e-05,0.9999816705773833
MDH,0.004975124378109453,4.050744439258466e-05,0.858299496807794
ACACT4r,0.029850746268656716,4.0412767746865437e-05,0.9947144897028497
MCITD,0.009950248756218905,4.0412767746865437e-05,0.9946882103392967
ICL,0.024875621890547265,2.1110493972784436e-05,0.6580790605764347
PYDAMK,0.004975124378109453,2.1110493889353866e-05,0.6580599129795489
AI2K,0.009950248756218905,1.920607731951929e-05,0.9982928573766365
HACD4,0.009950248756218905,6.972344121839034e-06,0.9947144897032658
PAI2T,0.024875621890547265,6.972344121839034e-06,0.9994864073014347
PYAM5PO,0.004975124378109453,6.972344121839034e-06,0.15171755833228287
S7PI,0.03980099502487562,6.972344121839034e-06,0.9999999999108978
RPE,0.05970149253731343,5.174570363134182e-06,0.9943686023517433
NNAM,0.004975124378109453,1.3460771918334943e-06,0.10281077598533497
ADPT,0.009950248756218905,7.492584661542794e-07,0.15285805981541545
SERASr,0.03980099502487562,2.9185008996926855e-07,0.99999999999218
XAND,0.009950248756218905,8.719932593498063e-08,0.9999999296891868
HPYRI,0.004975124378109453,8.397383472704883e-08,0.9946775092292635
LCARSyi,0.004975124378109453,8.397383472704883e-08,0.9946775092292635
ACACT2r,0.04477611940298507,7.402207014229102e-08,0.991771786999733
ICHORT,0.01990049751243781,6.770001419983952e-08,0.9999999999911197
PPM2,0.04477611940298507,5.0919708058412876e-08,0.9999999999865508
POAACR,0.004975124378109453,5.0919708058412876e-08,0.9917717869996932
MTAN,0.009950248756218905,3.496072306560262e-08,0.9999999999865469
DHBD,0.05970149253731343,3.496072306560262e-08,0.9999999999865469
DSERDHr,0.029850746268656716,3.496072306560262e-08,0.9999999999865815
CTECOAI6,0.03980099502487562,2.182835830833218e-08,0.99999999999218
GNP,0.01990049751243781,2.182835830833218e-08,0.9999999993212182
KDOPP,0.024875621890547265,1.1269265347385965e-08,0.9999734361076856
ALCD2x,0.024875621890547265,1.097710511130765e-08,0.9999999988917931
GAPP,0.004975124378109453,1.097710511130765e-08,0.9999999988917931
AACPS7,0.009950248756218905,9.076036317965155e-09,0.994937475883209
DCTPD,0.004975124378109453,9.027958673545088e-09,0.9917456628652689
ACOAD7f,0.009950248756218905,8.790293228874877e-09,0.999465388230964
NTD5,0.004975124378109453,7.756778845569996e-09,0.33322263031811505
FBA,0.024875621890547265,5.438570028057981e-09,0.9999999999921779
AACPS8,0.004975124378109453,4.303343104566421e-09,0.1493761057464239
KAT1,0.004975124378109453,3.791200041534246e-09,0.15249865168131008
5DKGR,0.004975124378109453,3.6951858241245127e-09,0.14793912133843712
ASNS2,0.004975124378109453,3.6951858241245127e-09,0.14793912133843712
TKT2,0.024875621890547265,2.778512271564564e-09,0.9924495177376469
NDPK6,0.04477611940298507,2.778512271564564e-09,0.9999999999866247
PSP_L,0.004975124378109453,2.5284397572985606e-09,0.9892523407001808
PAI2I,0.009950248756218905,2.5284397572985606e-09,0.9892523407001808
CTECOAI8,0.004975124378109453,2.284220591391133e-09,0.9999999994605118
MMCD,0.004975124378109453,2.165160944697655e-09,0.9999928390148503
CBMKr,0.01990049751243781,1.8344629150400446e-09,0.9947749586275116
HEPKA1,0.004975124378109453,1.8063966137946767e-09,0.9999999988056727
HSST,0.004975124378109453,1.8063966137946767e-09,0.9999999988056727
G6PDH2r,0.05472636815920398,1.3680840635985597e-09,1.0
MALS,0.01990049751243781,1.2718353872326151e-09,0.9082018589931842
HACD6,0.029850746268656716,1.2456634445668315e-09,0.9966560109784389
MAN1PT2,0.004975124378109453,1.2247419346954802e-09,0.9958015103716504
TMDPP,0.029850746268656716,1.2247419346954802e-09,0.9999999999921436
O6A4COLIPAt2ex,0.004975124378109453,1.1462927361809594e-09,0.9983301182556966
MSAR,0.004975124378109453,1.108701987379417e-09,0.9958015098764635
F6PA,0.01990049751243781,1.02156303376386e-09,0.9999999999865731
CYTK2,0.029850746268656716,1.02156303376386e-09,0.9999999999865731
URIDK2r,0.01990049751243781,1.02156303376386e-09,0.9998903250171808
G1PTT,0.004975124378109453,9.774892806041398e-10,0.9917717860264377
CBMD,0.004975124378109453,9.34323224877915e-10,0.8896435812667383
MMM,0.009950248756218905,7.749718976642808e-10,0.9881621602761288
CTECOAI7,0.014925373134328358,7.638273902863654e-10,0.9993699379758636
PUNP1,0.009950248756218905,7.638273902863654e-10,0.9958230084708872
3AMACHYD,0.004975124378109453,6.971005978792558e-10,0.991771786999733
URACPAH,0.004975124378109453,6.621148500996881e-10,0.9998903250171569
ASPO6,0.004975124378109453,4.942871187869952e-10,0.9855023513366722
VPAMTr,0.009950248756218905,4.937751908785901e-10,0.9999993768765213
GALUi,0.009950248756218905,4.34837498279483e-10,0.9947144895296841
VALTA,0.029850746268656716,3.823423300423332e-10,0.9999999999921436
MCTP2App,0.004975124378109453,3.793075614692455e-10,0.9994864073014347
TRPS3,0.004975124378109453,3.793075614692455e-10,0.9994864073014347
NTPTP2,0.004975124378109453,3.7755170469888537e-10,1.0
BTDD_RR,0.009950248756218905,3.7755170469888537e-10,1.0
LYSDC,0.004975124378109453,2.421535042024907e-10,0.15262956208202666
GLYAT,0.004975124378109453,2.421535042024907e-10,0.15262956208202666
IMPD,0.004975124378109453,2.421535042024907e-10,0.15262956208202666
GGGABADr,0.03482587064676617,1.3227956643235418e-10,0.9999999999921779
PUNP3,0.004975124378109453,1.3218363573571523e-10,0.9881621609866756
SULRi,0.004975124378109453,1.2122803500682787e-10,0.10281150690133567
SUCOAS,0.004975124378109453,1.1803818620847085e-10,0.9526164582206643
LDH_D,0.014925373134328358,1.1573201064165276e-10,0.9999999999108978
DADK,0.03980099502487562,1.1422913230265956e-10,0.9999999999921779
ACALD,0.024875621890547265,9.459091149299133e-11,0.9999999999921779
FLDR2,0.004975124378109453,9.459091149299133e-11,0.9999999999247189
FE3Ri,0.004975124378109453,9.213768528993851e-11,0.1524986535069688
FACOAE80,0.014925373134328358,9.213768528993851e-11,0.15285846280476725
GLUCYS,0.004975124378109453,8.902600718631901e-11,0.9999999999273504
FRK,0.004975124378109453,8.893602906819972e-11,0.15285468422616336
AGDC,0.004975124378109453,8.22191600690692e-11,0.15285846280476725
FACOAE120,0.004975124378109453,8.007980437536263e-11,0.9889697428906521
GPDDA4pp,0.004975124378109453,6.628938253310905e-11,0.9943626278146301
FACOAE180,0.004975124378109453,5.6469971668861225e-11,0.150738744736111
HACD2,0.009950248756218905,5.6469971668861225e-11,0.9917717869996938
