Strategy,Flux,Biomass,N_of_deletions,C_limit
"['GMHEPAT', 'FUM', 'KDOPS']",2.5643883380413707e-08,0.0436366897843636,3,11
"['CBMKr', 'HXAND', 'FUM']",4.135714215536268e-09,0.0433157631121475,3,11
"['PPM', 'CBMKr', 'ALCD2x']",1.0939590899816663e-09,0.2839796094503148,3,11
"['PPM', 'GAPP', 'ALCD2x']",2.474739024815875e-08,0.2854712080081032,3,11
"['PPM', 'GMHEPAT', 'FUM']",4.0728048364413455e-10,0.0436366900643823,3,11
"['CBMKr', 'GMHEPAT', 'ALCD2x']",2.0202151063131166e-10,0.2839796094172655,3,11
"['PGI', 'NDPK4', 'FUM']",1.5439404076511738e-10,0.0436299396003282,3,11
"['GMHEPAT', 'FUM', 'DHBS']",1.5572823031106962e-09,0.0436366900561037,3,11
"['PGI', 'CBMKr', 'GMHEPAT']",1.0437781194916339e-10,0.2839796094388983,3,11
"['PGM', 'THZPSN']",9.448984777437838e-05,0.28208411696441,2,11
"['FESR', 'FACOAE100']",1.0029925085445225e-10,0.2854659758020421,2,11
"['OHPBAT', 'ENO']",0.0,0.2820912816143411,2,11
"['PGM', 'ENO']",0.0,0.2820918461173795,2,11
"['MMM', 'DSERDHr', 'ENO']",1.7471393221057951e-09,0.2820918459145395,3,11
"['ECOAH5', '4HTHRA', 'PERD']",0.768944511121862,0.2208874811387813,3,11
"['TPI', 'G3PD2', 'FUM']",1.2966427519193926e-10,0.0436003823013882,3,11
"['OHPBAT', 'THZPSN', '4HTHRA']",0.7689441131768956,0.2218129256465148,3,11
"['OHPBAT', 'DSERDHr', 'PERD']",1.956550477189012e-10,0.2854710304406444,3,11
"['ECOAH4', '4HTHRA', 'PERD']",0.7689446147973253,0.2206463511583499,3,11
"['G6PDH2r', 'GGGABADr', '4HTHRA', 'A5PISO']",2.9821833891219285e-10,0.2854709415007344,4,11
"['GGGABADr', 'DADK', '4HTHRA', 'A5PISO']",-1.928812665141777e-11,0.2854709415023325,4,11
"['G6PDH2r', 'DADK', '4HTHRA', 'A5PISO']",-1.9223511671384582e-11,0.2854709415023258,4,11
"['G6PDH2r', 'DADK', 'GGGABADr', 'A5PISO']",-1.9338530776735752e-11,0.2854712083222258,4,11
"['GGGABADr', 'DADK', '4HTHRA', 'G6PDH2r']",2.575244462121873e-10,0.2854709415016983,4,11
"['ACALD', 'DADK', 'GGGABADr', 'A5PISO']",-1.9395929307108872e-11,0.2854712083222314,4,11
"['ACALD', 'DADK', '4HTHRA', 'G6PDH2r']",-1.9258261652055356e-11,0.2854709415023258,4,11
"['BTDD_RR', 'G6PDH2r', 'NTPTP2', 'A5PISO']",8.511733540217391e-10,0.2854712083244644,4,11
"['ACALD', 'DADK', 'GGGABADr', '4HTHRA']",1.281068306990818e-10,0.2854709414538021,4,11
"['BTDD_RR', 'ACALD', 'GGGABADr', 'A5PISO']",0.0,0.285471208320625,4,11
"['ECOAH4', 'THZPSN']",9.110874953321968e-05,0.2839548453132602,2,11
"['ALCD19', 'ACOAD8f']",0.0,0.2854712083206345,2,11
"['ALCD19', 'FUM']",1.0351118920337575e-10,0.043636690085073,2,11
"['FUM', 'GLYK']",2.3938230564457536e-10,0.0436366900758167,2,11
"['ECOAH4', 'ACOAD8f']",0.0,0.283962347313317,2,11
"['THZPSN', 'A5PISO']",0.0,0.2854636263830084,2,11
"['ECOAH4', 'A5PISO']",0.0,0.2839623473133273,2,11
"['PAI2I', 'FUM']",1.0069651964813977e-10,0.0436356114028395,2,11
"['THZPSN', 'ICHORS_copy2']",0.0,0.2854636263829883,2,11
"['ALCD19', 'THZPSN', 'ACOAD8f']",9.159287150983796e-05,0.2854636263829963,3,11
"['PGCD', '4HTHRA', 'PERD']",0.7689451322674142,0.2194429709516917,3,11
"['CYTK1', '4HTHRA', 'A5PISO']",2.82250667282824e-10,0.2849361089731358,3,11
"['ACOAD3f', '4HTHRK', 'PGCD', 'PERD']",0.768945900471067,0.2176564681764615,4,11
"['ACOAD3f', 'TRDR', '4HTHRA', 'PERD']",0.7689513842152208,0.2152666457277418,4,11
"['CYTK1', 'FUM', 'TRDR', 'AACPS8']",9.701693670649549e-09,0.0426425774022346,4,11
"['ACOAD3f', 'PERD', '4HTHRA', 'A5PISO']",0.7689448955022661,0.2199935820047945,4,11
"['CYTK1', 'MALS', 'MMM', 'ACOAD3f']",1.1370957508916035e-09,0.2567645651766417,4,11
"['4HTHRK', 'TRDR', 'HACD1', 'PERD']",0.768946928104679,0.2152666457277447,4,11
"['GMHEPPA', 'S7PI', 'TRDR', 'FUM']",4.2405190470162774e-10,0.0427531957491741,4,11
"['MALS', 'CBMD', 'PGCD', 'A5PISO']",2.1063897293061022e-09,0.2539676281223196,4,11
